,ret,VaR_GJR_1%,VaR_GJR_5%,VaR_GARCH_1%,VaR_GARCH_5%
2025-06-02,-0.2787947776205526,-2.1400130098085595,-1.5131048112734453,-2.182311260158103,-1.543011959416469
2025-06-03,0.6703129923146394,-2.048030180012903,-1.4480679812726758,-2.05912209867563,-1.455910567003651
2025-06-04,0.764397318657241,-1.9563236904290469,-1.3832265387308176,-2.0378510126512013,-1.440870760022546
2025-06-05,0.1938253721926801,-1.885008918509271,-1.3328031422317774,-2.0496991600270786,-1.4492480403086694
2025-06-06,-0.0786342250720146,-1.8044434756557919,-1.275839021618847,-1.9389845148584088,-1.370966804860417
2025-06-09,-0.5368985534032307,-1.7381055600380542,-1.228934531398,-1.8384641830206403,-1.2998934996807738
2025-06-10,-0.7755540207321172,-1.8093999352251264,-1.2793435063050935,-1.822957870219066,-1.2889296988077725
2025-06-11,-0.1612975337591748,-1.9917217464098136,-1.4082548766749015,-1.8845362985470804,-1.332468974385406
2025-06-12,-0.7437162185494022,-1.902346957823842,-1.3450620727077527,-1.7971046613239638,-1.2706500834097634
2025-06-13,-1.0794406908492782,-2.040160471617995,-1.4425036722796571,-1.8523679310545682,-1.3097242006851346
2025-06-16,0.7747039387988303,-2.357347853191875,-1.666772286972611,-2.0310179900985847,-1.4360394439265616
2025-06-17,-1.1222167382693211,-2.2200473727382892,-1.5696934296889062,-2.046507433742399,-1.446991317393677
2025-06-18,-0.4998243286120008,-2.5126074809122,-1.77654923160958,-2.1929838102768824,-1.550558028930657
2025-06-19,-1.1231540714336596,-2.4147869561204947,-1.707384835867489,-2.1028984207016443,-1.4868627916741655
2025-06-20,1.2634642893824024,-2.6524025622744767,-1.875391906505536,-2.235726952661572,-1.580779739777642
2025-06-23,-0.3498149610174439,-2.5022396908843314,-1.7692186439442068,-2.399757114852173,-1.6967579261096795
2025-06-24,1.5884607191807292,-2.362835678427943,-1.6706524758920538,-2.247604974755531,-1.5891781431034187
2025-06-25,-0.6077671360566833,-2.2886764960903636,-1.618217927559502,-2.5716162456097504,-1.8182716161754353
2025-06-26,0.6404191106162287,-2.273699270786765,-1.6076282201313083,-2.441780469722769,-1.7264707082979704
2025-06-27,1.610351996933783,-2.1451954610166513,-1.5167690842574004,-2.340189372443642,-1.6546403141036157
2025-06-30,-0.5156625165165041,-2.11112557294454,-1.4926798327784707,-2.6490199643223797,-1.8730002270099149
2025-07-01,-0.9933075256939016,-2.094131766180263,-1.480664293312578,-2.4864888360897797,-1.7580819386708881
2025-07-02,0.4922553050991216,-2.3359911349333213,-1.6516719333757328,-2.481365578171997,-1.7544595185410756
2025-07-03,0.6035587821723482,-2.1909577197518213,-1.5491254734707163,-2.3420661928702495,-1.6559673275396931
2025-07-04,-0.6147411813176498,-2.0734316859996422,-1.466028218311405,-2.2496503940053194,-1.5906243650159682
2025-07-07,1.1960611051048056,-2.105330829632457,-1.4885826361981602,-2.1750719097856237,-1.5378933476001455
2025-07-08,0.5519427165647628,-2.0364450638151093,-1.4398766782396106,-2.3223274595908747,-1.6420109767340794
2025-07-09,1.405581769985275,-1.9413314448562327,-1.372626211160824,-2.221777999559529,-1.5709170763479379
2025-07-10,-0.3785226641882228,-1.922342053260701,-1.3591996854085695,-2.4561838551857234,-1.736654679957363
2025-07-11,-0.8273142075439126,-1.8924932047585226,-1.338094936945541,-2.3023125037132086,-1.6278593216286597
2025-07-14,-0.3910696381534617,-2.083536659169656,-1.4731729802597002,-2.2790596121688873,-1.6114182710787475
2025-07-15,-0.4162163940895754,-2.0295128740887765,-1.4349752455943425,-2.1556242035782085,-1.5241427686570272
2025-07-16,-0.2118101590479912,-1.9928909004504252,-1.409081531744689,-2.057073469863058,-1.4544620757568185
2025-07-17,1.4946392641384505,-1.9117917264117257,-1.3517400343491959,-1.9455810542460066,-1.3756309145828258
2025-07-18,-0.334645550979709,-1.906311175311717,-1.3478649886369294,-2.308969875409969,-1.632566443080087
2025-07-21,0.0752758384481683,-1.8677838145185681,-1.3206240631310622,-2.1735827885567756,-1.5368404584421766
2025-07-22,-1.099916090184699,-1.7883881167720754,-1.2644870155037784,-2.037035505044158,-1.440294152086897
2025-07-23,0.8239844169913363,-2.203630589037945,-1.5580858767026522,-2.1750697644744412,-1.53789183074924
2025-07-24,0.2270831841100534,-2.0934392538589797,-1.4801746496887318,-2.176137078950501,-1.5386464797450479
2025-07-25,-0.3233321425960863,-1.9806489124757731,-1.4004257848781525,-2.04911773130516,-1.4488369387908206
2025-07-28,-1.0257471285291986,-1.9263732030009078,-1.3620499260561327,-1.953378120661196,-1.3811438617717295
2025-07-29,1.0252067765996018,-2.2391150944523743,-1.5831753390667314,-2.0809208617563786,-1.4713234701711142
2025-07-30,0.1850328166601031,-2.1359855200111006,-1.5102571584031317,-2.1770803108668697,-1.539313395667644
2025-07-31,-0.8142374745783153,-2.0163203296252754,-1.4256474039367593,-2.046144830243336,-1.4467349371303317
2025-08-01,-2.693279618665826,-2.165296464826389,-1.5309815798994995,-2.0713789469455435,-1.4645768209017587
2025-08-04,1.4060978493706018,-3.949418423711464,-2.792452191299711,-3.1806774116656285,-2.24891076486052
2025-08-05,0.3713192460353557,-3.6232488082691794,-2.5618326520002372,-3.186606770115271,-2.2531031416156138
2025-08-06,0.3277723608663236,-3.3007501966878183,-2.333808710754938,-2.927614217355736,-2.069981414846531
2025-08-07,1.1145507176971277,-3.0226162983136735,-2.1371530185328584,-2.701266636522712,-1.9099414468609197
2025-08-08,-0.1225950095107637,-2.809916404101644,-1.9867627022990495,-2.695966955145714,-1.906194285814236
2025-08-11,-0.3379457433411005,-2.6008498351225966,-1.8389413432938875,-2.4882567217148686,-1.759331929317133
2025-08-12,-0.2351491824661777,-2.451046933494215,-1.7330225988013466,-2.328461331685942,-1.6463479556852554
2025-08-13,0.6671226383482204,-2.304192991427622,-1.629188928035339,-2.1816425643541604,-1.5425391553570609
2025-08-14,0.7903580923874695,-2.1736184618668375,-1.5368656813996266,-2.1361710260198974,-1.510388321173238
2025-08-15,-0.0746836858561638,-2.0690466020727594,-1.4629277270727103,-2.135268466899604,-1.5097501631147985
2025-08-18,-0.1829773517545559,-1.9593559787731207,-1.3853705304082313,-2.0066305148790113,-1.4187961814228214
